"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4918","@smoke verifying Homepage","webkit","2026-04-17","passed","2026-04-17","","login.spec.js","",""
"","6172","@regressionverifying Logout","firefox","2026-04-17","passed","2026-04-17","","logout.spec.js","",""
"","130","get user","webkit","2026-04-17","passed","2026-04-17","","api\login.api.spec.js","",""
"","7029","login and save state","setup","2026-04-17","passed","2026-04-17","","setup\auth.setup.js","",""
"","4408","invalid login test","chromium","2026-04-17","passed","2026-04-17","","invalidlogin.spec.js","",""
"","4288","@smoke verifying Homepage","chromium","2026-04-17","passed","2026-04-17","","login.spec.js","",""
"","5095","@regressionverifying Logout","chromium","2026-04-17","passed","2026-04-17","","logout.spec.js","",""
"","5781","invalid login test","webkit","2026-04-17","passed","2026-04-17","","invalidlogin.spec.js","",""
"","161","get user","chromium","2026-04-17","passed","2026-04-17","","api\login.api.spec.js","",""
"","5349","invalid login test","firefox","2026-04-17","passed","2026-04-17","","invalidlogin.spec.js","",""
"","5898","@regressionverifying Logout","webkit","2026-04-17","passed","2026-04-17","","logout.spec.js","",""
"","105","get user","firefox","2026-04-17","passed","2026-04-17","","api\login.api.spec.js","",""
"","6019","@smoke verifying Homepage","firefox","2026-04-17","passed","2026-04-17","","login.spec.js","",""
